,id,market,name,season_type,year,assists,blocked_att,blocks,def_rebounds,fast_break_pts,field_goals_att,field_goals_made,flagrant_fouls,free_throws_att,free_throws_made,minutes,off_rebounds,paint_pts,personal_fouls,points,points_off_turnovers,rebounds,second_chance_pts,steals,three_points_att,three_points_made,turnovers,two_points_att,two_points_made,wins,losses,conference,division
35,5,S,S,R,2014,24.4,4.41,5.41,33.8,10.93,83.59,39.12,0.01,21.39,16.68,243.4,9.83,45.0,19.07,103.2,15.9,43.63,13.01,8.01,22.52,8.26,13.98,61.06,30.87,55,27,W,S
36,5,T,R,R,2013,21.2,4.29,4.18,31.12,9.65,81.93,36.49,0.02,25.06,19.61,243.4,11.4,38.85,22.95,101.3,16.84,42.52,14.66,7.04,23.38,8.7,14.13,58.55,27.79,48,34,E,A
37,5,T,R,R,2014,20.7,5.04,4.35,30.8,11.9,83.28,37.9,0.1,24.56,19.33,242.1,10.74,42.98,20.88,104.0,16.1,41.55,14.13,7.5,25.12,8.85,12.89,58.16,29.05,49,33,E,A
38,5,L,C,R,2013,24.6,3.46,4.84,32.54,18.57,82.45,39.12,0.11,29.07,21.23,240.9,10.46,40.9,21.55,107.9,19.95,43.0,13.22,8.57,23.98,8.45,13.85,58.48,30.67,57,25,W,P
39,5,L,C,R,2014,24.8,2.99,4.99,33.06,14.18,83.29,39.37,0.05,25.21,17.9,240.6,9.56,37.17,21.33,106.7,15.71,42.62,12.41,7.8,26.85,10.09,12.34,56.44,29.28,56,26,W,P
40,5,U,J,R,2013,20.3,4.89,4.46,30.21,12.33,81.12,35.99,0.0,21.99,16.41,241.2,11.02,41.46,20.72,95.0,14.11,41.23,13.3,6.95,19.23,6.62,14.63,61.89,29.37,25,57,W,N
41,5,U,J,R,2014,19.9,4.66,5.96,31.91,12.11,79.17,35.37,0.04,23.52,16.96,240.3,12.05,41.49,19.3,95.1,15.44,43.96,15.05,7.6,21.72,7.44,15.32,57.45,27.93,38,44,W,N
42,5,M,H,R,2013,22.5,3.12,4.48,29.23,13.15,76.49,38.32,0.06,22.98,17.45,242.4,7.65,45.17,19.46,102.2,19.28,36.88,9.83,8.93,22.3,8.11,14.78,54.18,30.21,54,28,E,S
43,5,M,H,R,2014,19.8,4.38,4.54,30.01,9.84,77.2,35.18,0.04,23.66,17.54,240.6,9.11,39.61,19.95,94.7,15.87,39.12,12.09,7.83,20.23,6.78,14.8,56.96,28.4,37,45,E,S
44,5,M,B,R,2013,21.5,5.04,4.91,29.26,12.59,82.16,36.0,0.07,22.48,16.79,242.4,11.84,40.85,20.89,95.5,16.59,41.1,12.67,6.6,18.94,6.68,15.1,63.22,29.32,15,67,E,C
45,5,M,B,R,2014,23.6,4.78,4.91,31.39,14.8,81.98,37.6,0.07,21.15,16.0,243.0,10.68,42.24,22.12,97.8,18.68,42.07,11.9,9.62,18.29,6.65,16.74,63.68,30.95,41,41,E,C
